country,desc,prix
Afghanistan,"Meal, Inexpensive Restaurant",150.00 AFN
Afghanistan,"Meal for 2 People, Mid-range Restaurant, Three-course",675.00 AFN
Afghanistan,McMeal at McDonalds (or Equivalent Combo Meal),250.00 AFN
Afghanistan,Domestic Non-Alcoholic Beer (0.5 liter draught),200.00 AFN
Afghanistan,Imported Non-Alcoholic Beer (0.33 liter bottle),500.00 AFN
Afghanistan,Cappuccino (regular),63.00 AFN
Afghanistan,Coke/Pepsi (0.33 liter bottle),27.92 AFN
Afghanistan,Water (0.33 liter bottle),10.42 AFN
Afghanistan,"Milk (regular), (1 liter)",52.16 AFN
Afghanistan,Loaf of Fresh White Bread (500g),16.89 AFN
Afghanistan,"Rice (white), (1kg)",117.00 AFN
Afghanistan,Eggs (regular) (12),110.40 AFN
Afghanistan,Local Cheese (1kg),264.55 AFN
Afghanistan,Chicken Fillets (1kg),240.00 AFN
Afghanistan,Beef Round (1kg) (or Equivalent Back Leg Red Meat),412.00 AFN
Afghanistan,Apples (1kg),44.23 AFN
Afghanistan,Banana (1kg),57.78 AFN
Afghanistan,Oranges (1kg),55.50 AFN
Afghanistan,Tomato (1kg),39.17 AFN
Afghanistan,Potato (1kg),29.08 AFN
Afghanistan,Onion (1kg),26.95 AFN
Afghanistan,Lettuce (1 head),21.43 AFN
Afghanistan,Water (1.5 liter bottle),21.67 AFN
Afghanistan,Bottle of Non-Alcoholic Wine (Mid-Range),120.00 AFN
Afghanistan,Domestic Non-Alcoholic Beer (0.5 liter bottle),50.00 AFN
Afghanistan,Imported Non-Alcoholic Beer (0.33 liter bottle),102.50 AFN
Afghanistan,Cigarettes 20 Pack (Marlboro),155.00 AFN
Afghanistan,One-way Ticket (Local Transport),20.00 AFN
Afghanistan,Monthly Pass (Regular Price),850.00 AFN
Afghanistan,Taxi Start (Normal Tariff),100.00 AFN
Afghanistan,Taxi 1km (Normal Tariff),50.00 AFN
Afghanistan,Taxi 1hour Waiting (Normal Tariff),120.00 AFN
Afghanistan,Gasoline (1 liter),70.08 AFN
Afghanistan,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"600,000.00 AFN"
Afghanistan,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,800,000.00 AFN"
Afghanistan,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","6,258.93 AFN"
Afghanistan,Mobile Phone Monthly Plan with Calls and 10GB+ Data,"1,013.86 AFN"
Afghanistan,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","8,312.50 AFN"
Afghanistan,"Fitness Club, Monthly Fee for 1 Adult",690.91 AFN
Afghanistan,Tennis Court Rent (1 Hour on Weekend),250.00 AFN
Afghanistan,"Cinema, International Release, 1 Seat",169.82 AFN
Afghanistan,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","1,628.57 AFN"
Afghanistan,"International Primary School, Yearly for 1 Child","100,000.00 AFN"
Afghanistan,1 Pair of Jeans (Levis 501 Or Similar),"1,033.33 AFN"
Afghanistan,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","1,212.50 AFN"
Afghanistan,1 Pair of Nike Running Shoes (Mid-Range),"2,214.29 AFN"
Afghanistan,1 Pair of Men Leather Business Shoes,"1,856.25 AFN"
Afghanistan,Apartment (1 bedroom) in City Centre,"5,722.22 AFN"
Afghanistan,Apartment (1 bedroom) Outside of Centre,"3,625.00 AFN"
Afghanistan,Apartment (3 bedrooms) in City Centre,"12,250.00 AFN"
Afghanistan,Apartment (3 bedrooms) Outside of Centre,"7,062.50 AFN"
Afghanistan,Price per Square Meter to Buy Apartment in City Centre,"31,723.32 AFN"
Afghanistan,Price per Square Meter to Buy Apartment Outside of Centre,"14,343.75 AFN"
Afghanistan,Average Monthly Net Salary (After Tax),"15,411.42 AFN"
Afghanistan,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",16.22
Aland Islands,"Meal, Inexpensive Restaurant",13.00 €
Aland Islands,"Meal for 2 People, Mid-range Restaurant, Three-course",60.00 €
Aland Islands,McMeal at McDonalds (or Equivalent Combo Meal),10.50 €
Aland Islands,Domestic Beer (0.5 liter draught),7.00 €
Aland Islands,Imported Beer (0.33 liter bottle),6.00 €
Aland Islands,Cappuccino (regular),3.10 €
Aland Islands,Coke/Pepsi (0.33 liter bottle),2.30 €
Aland Islands,Water (0.33 liter bottle),1.70 €
Aland Islands,"Milk (regular), (1 liter)",1.07 €
Aland Islands,Loaf of Fresh White Bread (500g),2.40 €
Aland Islands,"Rice (white), (1kg)",2.00 €
Aland Islands,Eggs (regular) (12),2.64 €
Aland Islands,Local Cheese (1kg),10.75 €
Aland Islands,Chicken Fillets (1kg),8.75 €
Aland Islands,Beef Round (1kg) (or Equivalent Back Leg Red Meat),13.75 €
Aland Islands,Apples (1kg),2.51 €
Aland Islands,Banana (1kg),1.57 €
Aland Islands,Oranges (1kg),2.29 €
Aland Islands,Tomato (1kg),4.00 €
Aland Islands,Potato (1kg),1.15 €
Aland Islands,Onion (1kg),1.12 €
Aland Islands,Lettuce (1 head),2.02 €
Aland Islands,Water (1.5 liter bottle),1.60 €
Aland Islands,Bottle of Wine (Mid-Range),11.50 €
Aland Islands,Domestic Beer (0.5 liter bottle),3.21 €
Aland Islands,Imported Beer (0.33 liter bottle),2.92 €
Aland Islands,Cigarettes 20 Pack (Marlboro),8.79 €
Aland Islands,One-way Ticket (Local Transport),2.50 €
Aland Islands,Monthly Pass (Regular Price),50.00 €
Aland Islands,Taxi Start (Normal Tariff),7.00 €
Aland Islands,Taxi 1km (Normal Tariff),1.00 €
Aland Islands,Taxi 1hour Waiting (Normal Tariff),20.00 €
Aland Islands,Gasoline (1 liter),2.01 €
Aland Islands,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"23,500.00 €"
Aland Islands,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"22,333.33 €"
Aland Islands,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",183.33 €
Aland Islands,Mobile Phone Monthly Plan with Calls and 10GB+ Data,28.00 €
Aland Islands,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",37.00 €
Aland Islands,"Fitness Club, Monthly Fee for 1 Adult",37.78 €
Aland Islands,Tennis Court Rent (1 Hour on Weekend),20.00 €
Aland Islands,"Cinema, International Release, 1 Seat",14.00 €
Aland Islands,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",140.00 €
Aland Islands,"International Primary School, Yearly for 1 Child",0.00 €
Aland Islands,1 Pair of Jeans (Levis 501 Or Similar),70.00 €
Aland Islands,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",28.33 €
Aland Islands,1 Pair of Nike Running Shoes (Mid-Range),83.33 €
Aland Islands,1 Pair of Men Leather Business Shoes,80.00 €
Aland Islands,Apartment (1 bedroom) in City Centre,580.00 €
Aland Islands,Apartment (1 bedroom) Outside of Centre,457.50 €
Aland Islands,Apartment (3 bedrooms) in City Centre,"1,000.00 €"
Aland Islands,Apartment (3 bedrooms) Outside of Centre,737.50 €
Aland Islands,Price per Square Meter to Buy Apartment in City Centre,"2,600.00 €"
Aland Islands,Price per Square Meter to Buy Apartment Outside of Centre,"2,200.00 €"
Aland Islands,Average Monthly Net Salary (After Tax),"2,250.00 €"
Aland Islands,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.90
Albania,"Meal, Inexpensive Restaurant","1,000.00 Lek"
Albania,"Meal for 2 People, Mid-range Restaurant, Three-course","4,500.00 Lek"
Albania,McMeal at McDonalds (or Equivalent Combo Meal),800.00 Lek
Albania,Domestic Beer (0.5 liter draught),250.00 Lek
Albania,Imported Beer (0.33 liter bottle),346.32 Lek
Albania,Cappuccino (regular),162.45 Lek
Albania,Coke/Pepsi (0.33 liter bottle),150.39 Lek
Albania,Water (0.33 liter bottle),74.91 Lek
Albania,"Milk (regular), (1 liter)",177.92 Lek
Albania,Loaf of Fresh White Bread (500g),86.76 Lek
Albania,"Rice (white), (1kg)",188.91 Lek
Albania,Eggs (regular) (12),310.13 Lek
Albania,Local Cheese (1kg),"1,073.32 Lek"
Albania,Chicken Fillets (1kg),648.91 Lek
Albania,Beef Round (1kg) (or Equivalent Back Leg Red Meat),"1,276.93 Lek"
Albania,Apples (1kg),125.96 Lek
Albania,Banana (1kg),218.07 Lek
Albania,Oranges (1kg),153.43 Lek
Albania,Tomato (1kg),144.91 Lek
Albania,Potato (1kg),100.12 Lek
Albania,Onion (1kg),100.37 Lek
Albania,Lettuce (1 head),119.02 Lek
Albania,Water (1.5 liter bottle),61.46 Lek
Albania,Bottle of Wine (Mid-Range),900.00 Lek
Albania,Domestic Beer (0.5 liter bottle),131.43 Lek
Albania,Imported Beer (0.33 liter bottle),179.68 Lek
Albania,Cigarettes 20 Pack (Marlboro),350.00 Lek
Albania,One-way Ticket (Local Transport),40.00 Lek
Albania,Monthly Pass (Regular Price),"1,600.00 Lek"
Albania,Taxi Start (Normal Tariff),300.00 Lek
Albania,Taxi 1km (Normal Tariff),300.00 Lek
Albania,Taxi 1hour Waiting (Normal Tariff),"1,442.11 Lek"
Albania,Gasoline (1 liter),184.22 Lek
Albania,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"2,968,421.65 Lek"
Albania,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"2,759,808.86 Lek"
Albania,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","8,318.07 Lek"
Albania,Mobile Phone Monthly Plan with Calls and 10GB+ Data,"1,501.79 Lek"
Albania,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","1,614.29 Lek"
Albania,"Fitness Club, Monthly Fee for 1 Adult","4,190.18 Lek"
Albania,Tennis Court Rent (1 Hour on Weekend),"2,055.26 Lek"
Albania,"Cinema, International Release, 1 Seat",750.00 Lek
Albania,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","21,499.03 Lek"
Albania,"International Primary School, Yearly for 1 Child","434,263.17 Lek"
Albania,1 Pair of Jeans (Levis 501 Or Similar),"5,511.62 Lek"
Albania,"1 Summer Dress in a Chain Store (Zara, H&M, ...)","4,340.11 Lek"
Albania,1 Pair of Nike Running Shoes (Mid-Range),"9,066.24 Lek"
Albania,1 Pair of Men Leather Business Shoes,"12,456.44 Lek"
Albania,Apartment (1 bedroom) in City Centre,"50,890.59 Lek"
Albania,Apartment (1 bedroom) Outside of Centre,"35,015.62 Lek"
Albania,Apartment (3 bedrooms) in City Centre,"95,367.37 Lek"
Albania,Apartment (3 bedrooms) Outside of Centre,"60,149.75 Lek"
Albania,Price per Square Meter to Buy Apartment in City Centre,"241,774.55 Lek"
Albania,Price per Square Meter to Buy Apartment Outside of Centre,"135,294.52 Lek"
Albania,Average Monthly Net Salary (After Tax),"60,828.70 Lek"
Albania,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",5.73
Alderney,"Meal, Inexpensive Restaurant",25.00 £
Alderney,"Meal for 2 People, Mid-range Restaurant, Three-course",72.50 £
Alderney,McMeal at McDonalds (or Equivalent Combo Meal),8.00 £
Alderney,Domestic Beer (0.5 liter draught),3.74 £
Alderney,Imported Beer (0.33 liter bottle),4.75 £
Alderney,Cappuccino (regular),3.12 £
Alderney,Coke/Pepsi (0.33 liter bottle),1.73 £
Alderney,Water (0.33 liter bottle),1.00 £
Alderney,"Milk (regular), (1 liter)",1.50 £
Alderney,Loaf of Fresh White Bread (500g),2.00 £
Alderney,"Rice (white), (1kg)",?
Alderney,Eggs (regular) (12),?
Alderney,Local Cheese (1kg),?
Alderney,Chicken Fillets (1kg),?
Alderney,Beef Round (1kg) (or Equivalent Back Leg Red Meat),?
Alderney,Apples (1kg),?
Alderney,Banana (1kg),?
Alderney,Oranges (1kg),?
Alderney,Tomato (1kg),?
Alderney,Potato (1kg),?
Alderney,Onion (1kg),?
Alderney,Lettuce (1 head),?
Alderney,Water (1.5 liter bottle),?
Alderney,Bottle of Wine (Mid-Range),?
Alderney,Domestic Beer (0.5 liter bottle),?
Alderney,Imported Beer (0.33 liter bottle),?
Alderney,Cigarettes 20 Pack (Marlboro),?
Alderney,One-way Ticket (Local Transport),?
Alderney,Monthly Pass (Regular Price),?
Alderney,Taxi Start (Normal Tariff),6.00 £
Alderney,Taxi 1km (Normal Tariff),?
Alderney,Taxi 1hour Waiting (Normal Tariff),?
Alderney,Gasoline (1 liter),2.08 £
Alderney,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),?
Alderney,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),?
Alderney,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",149.58 £
Alderney,Mobile Phone Monthly Plan with Calls and 10GB+ Data,?
Alderney,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",41.00 £
Alderney,"Fitness Club, Monthly Fee for 1 Adult",10.00 £
Alderney,Tennis Court Rent (1 Hour on Weekend),10.00 £
Alderney,"Cinema, International Release, 1 Seat",10.00 £
Alderney,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",?
Alderney,"International Primary School, Yearly for 1 Child",?
Alderney,1 Pair of Jeans (Levis 501 Or Similar),?
Alderney,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",?
Alderney,1 Pair of Nike Running Shoes (Mid-Range),?
Alderney,1 Pair of Men Leather Business Shoes,?
Alderney,Apartment (1 bedroom) in City Centre,?
Alderney,Apartment (1 bedroom) Outside of Centre,?
Alderney,Apartment (3 bedrooms) in City Centre,?
Alderney,Apartment (3 bedrooms) Outside of Centre,800.00 £
Alderney,Price per Square Meter to Buy Apartment in City Centre,?
Alderney,Price per Square Meter to Buy Apartment Outside of Centre,?
Alderney,Average Monthly Net Salary (After Tax),?
Alderney,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?
Algeria,"Meal, Inexpensive Restaurant",2.35 €
Algeria,"Meal for 2 People, Mid-range Restaurant, Three-course",20.00 €
Algeria,McMeal at McDonalds (or Equivalent Combo Meal),3.46 €
Algeria,Domestic Beer (0.5 liter draught),1.31 €
Algeria,Imported Beer (0.33 liter bottle),2.00 €
Algeria,Cappuccino (regular),0.68 €
Algeria,Coke/Pepsi (0.33 liter bottle),0.50 €
Algeria,Water (0.33 liter bottle),0.20 €
Algeria,"Milk (regular), (1 liter)",0.84 €
Algeria,Loaf of Fresh White Bread (500g),0.14 €
Algeria,"Rice (white), (1kg)",1.40 €
Algeria,Eggs (regular) (12),1.62 €
Algeria,Local Cheese (1kg),7.39 €
Algeria,Chicken Fillets (1kg),4.55 €
Algeria,Beef Round (1kg) (or Equivalent Back Leg Red Meat),14.15 €
Algeria,Apples (1kg),2.79 €
Algeria,Banana (1kg),2.70 €
Algeria,Oranges (1kg),1.57 €
Algeria,Tomato (1kg),0.69 €
Algeria,Potato (1kg),0.49 €
Algeria,Onion (1kg),0.43 €
Algeria,Lettuce (1 head),0.51 €
Algeria,Water (1.5 liter bottle),0.28 €
Algeria,Bottle of Wine (Mid-Range),6.80 €
Algeria,Domestic Beer (0.5 liter bottle),1.40 €
Algeria,Imported Beer (0.33 liter bottle),1.77 €
Algeria,Cigarettes 20 Pack (Marlboro),2.40 €
Algeria,One-way Ticket (Local Transport),0.20 €
Algeria,Monthly Pass (Regular Price),10.35 €
Algeria,Taxi Start (Normal Tariff),1.00 €
Algeria,Taxi 1km (Normal Tariff),0.35 €
Algeria,Taxi 1hour Waiting (Normal Tariff),4.26 €
Algeria,Gasoline (1 liter),0.30 €
Algeria,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"30,974.57 €"
Algeria,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"31,981.96 €"
Algeria,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",35.61 €
Algeria,Mobile Phone Monthly Plan with Calls and 10GB+ Data,9.11 €
Algeria,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",18.63 €
Algeria,"Fitness Club, Monthly Fee for 1 Adult",18.15 €
Algeria,Tennis Court Rent (1 Hour on Weekend),6.71 €
Algeria,"Cinema, International Release, 1 Seat",4.35 €
Algeria,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",71.28 €
Algeria,"International Primary School, Yearly for 1 Child","2,260.62 €"
Algeria,1 Pair of Jeans (Levis 501 Or Similar),33.41 €
Algeria,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",41.56 €
Algeria,1 Pair of Nike Running Shoes (Mid-Range),62.79 €
Algeria,1 Pair of Men Leather Business Shoes,63.79 €
Algeria,Apartment (1 bedroom) in City Centre,157.78 €
Algeria,Apartment (1 bedroom) Outside of Centre,96.69 €
Algeria,Apartment (3 bedrooms) in City Centre,264.22 €
Algeria,Apartment (3 bedrooms) Outside of Centre,173.59 €
Algeria,Price per Square Meter to Buy Apartment in City Centre,"1,155.90 €"
Algeria,Price per Square Meter to Buy Apartment Outside of Centre,652.29 €
Algeria,Average Monthly Net Salary (After Tax),270.83 €
Algeria,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",6.17
American Samoa,"Meal, Inexpensive Restaurant",25.00 $
American Samoa,"Meal for 2 People, Mid-range Restaurant, Three-course",6.99 $
American Samoa,McMeal at McDonalds (or Equivalent Combo Meal),?
American Samoa,Domestic Beer (0.5 liter draught),2.00 $
American Samoa,Imported Beer (0.33 liter bottle),2.00 $
American Samoa,Cappuccino (regular),1.00 $
American Samoa,Coke/Pepsi (0.33 liter bottle),1.25 $
American Samoa,Water (0.33 liter bottle),?
American Samoa,"Milk (regular), (1 liter)",2.55 $
American Samoa,Loaf of Fresh White Bread (500g),2.89 $
American Samoa,"Rice (white), (1kg)",4.30 $
American Samoa,Eggs (regular) (12),4.50 $
American Samoa,Local Cheese (1kg),10.20 $
American Samoa,Chicken Fillets (1kg),?
American Samoa,Beef Round (1kg) (or Equivalent Back Leg Red Meat),11.35 $
American Samoa,Apples (1kg),?
American Samoa,Banana (1kg),?
American Samoa,Oranges (1kg),?
American Samoa,Tomato (1kg),?
American Samoa,Potato (1kg),?
American Samoa,Onion (1kg),?
American Samoa,Lettuce (1 head),?
American Samoa,Water (1.5 liter bottle),?
American Samoa,Bottle of Wine (Mid-Range),15.00 $
American Samoa,Domestic Beer (0.5 liter bottle),?
American Samoa,Imported Beer (0.33 liter bottle),2.95 $
American Samoa,Cigarettes 20 Pack (Marlboro),11.50 $
American Samoa,One-way Ticket (Local Transport),2.00 $
American Samoa,Monthly Pass (Regular Price),?
American Samoa,Taxi Start (Normal Tariff),5.00 $
American Samoa,Taxi 1km (Normal Tariff),?
American Samoa,Taxi 1hour Waiting (Normal Tariff),?
American Samoa,Gasoline (1 liter),1.32 $
American Samoa,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),?
American Samoa,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),?
American Samoa,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",?
American Samoa,Mobile Phone Monthly Plan with Calls and 10GB+ Data,30.00 $
American Samoa,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",83.80 $
American Samoa,"Fitness Club, Monthly Fee for 1 Adult",50.00 $
American Samoa,Tennis Court Rent (1 Hour on Weekend),10.00 $
American Samoa,"Cinema, International Release, 1 Seat",9.00 $
American Samoa,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",?
American Samoa,"International Primary School, Yearly for 1 Child",?
American Samoa,1 Pair of Jeans (Levis 501 Or Similar),?
American Samoa,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",?
American Samoa,1 Pair of Nike Running Shoes (Mid-Range),?
American Samoa,1 Pair of Men Leather Business Shoes,?
American Samoa,Apartment (1 bedroom) in City Centre,150.00 $
American Samoa,Apartment (1 bedroom) Outside of Centre,200.00 $
American Samoa,Apartment (3 bedrooms) in City Centre,900.00 $
American Samoa,Apartment (3 bedrooms) Outside of Centre,700.00 $
American Samoa,Price per Square Meter to Buy Apartment in City Centre,?
American Samoa,Price per Square Meter to Buy Apartment Outside of Centre,?
American Samoa,Average Monthly Net Salary (After Tax),?
American Samoa,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",?
Andorra,"Meal, Inexpensive Restaurant",14.00 €
Andorra,"Meal for 2 People, Mid-range Restaurant, Three-course",44.00 €
Andorra,McMeal at McDonalds (or Equivalent Combo Meal),10.50 €
Andorra,Domestic Beer (0.5 liter draught),3.00 €
Andorra,Imported Beer (0.33 liter bottle),4.00 €
Andorra,Cappuccino (regular),2.47 €
Andorra,Coke/Pepsi (0.33 liter bottle),2.10 €
Andorra,Water (0.33 liter bottle),1.61 €
Andorra,"Milk (regular), (1 liter)",1.09 €
Andorra,Loaf of Fresh White Bread (500g),1.17 €
Andorra,"Rice (white), (1kg)",1.88 €
Andorra,Eggs (regular) (12),2.94 €
Andorra,Local Cheese (1kg),12.26 €
Andorra,Chicken Fillets (1kg),9.14 €
Andorra,Beef Round (1kg) (or Equivalent Back Leg Red Meat),12.15 €
Andorra,Apples (1kg),2.40 €
Andorra,Banana (1kg),2.24 €
Andorra,Oranges (1kg),1.75 €
Andorra,Tomato (1kg),3.16 €
Andorra,Potato (1kg),2.02 €
Andorra,Onion (1kg),1.81 €
Andorra,Lettuce (1 head),1.49 €
Andorra,Water (1.5 liter bottle),0.72 €
Andorra,Bottle of Wine (Mid-Range),5.58 €
Andorra,Domestic Beer (0.5 liter bottle),1.19 €
Andorra,Imported Beer (0.33 liter bottle),1.13 €
Andorra,Cigarettes 20 Pack (Marlboro),5.20 €
Andorra,One-way Ticket (Local Transport),1.88 €
Andorra,Monthly Pass (Regular Price),30.00 €
Andorra,Taxi Start (Normal Tariff),2.65 €
Andorra,Taxi 1km (Normal Tariff),3.00 €
Andorra,Taxi 1hour Waiting (Normal Tariff),5.00 €
Andorra,Gasoline (1 liter),1.49 €
Andorra,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"19,000.00 €"
Andorra,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"30,000.00 €"
Andorra,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",111.00 €
Andorra,Mobile Phone Monthly Plan with Calls and 10GB+ Data,26.00 €
Andorra,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",43.45 €
Andorra,"Fitness Club, Monthly Fee for 1 Adult",52.14 €
Andorra,Tennis Court Rent (1 Hour on Weekend),16.00 €
Andorra,"Cinema, International Release, 1 Seat",9.00 €
Andorra,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",565.00 €
Andorra,"International Primary School, Yearly for 1 Child","12,560.00 €"
Andorra,1 Pair of Jeans (Levis 501 Or Similar),96.66 €
Andorra,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",38.75 €
Andorra,1 Pair of Nike Running Shoes (Mid-Range),110.00 €
Andorra,1 Pair of Men Leather Business Shoes,125.00 €
Andorra,Apartment (1 bedroom) in City Centre,"1,015.00 €"
Andorra,Apartment (1 bedroom) Outside of Centre,820.00 €
Andorra,Apartment (3 bedrooms) in City Centre,"1,870.00 €"
Andorra,Apartment (3 bedrooms) Outside of Centre,"1,700.00 €"
Andorra,Price per Square Meter to Buy Apartment in City Centre,"4,650.00 €"
Andorra,Price per Square Meter to Buy Apartment Outside of Centre,"3,883.33 €"
Andorra,Average Monthly Net Salary (After Tax),"2,396.39 €"
Andorra,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.20
Angola,"Meal, Inexpensive Restaurant",5.87 $
Angola,"Meal for 2 People, Mid-range Restaurant, Three-course",54.18 $
Angola,McMeal at McDonalds (or Equivalent Combo Meal),7.83 $
Angola,Domestic Beer (0.5 liter draught),1.55 $
Angola,Imported Beer (0.33 liter bottle),1.76 $
Angola,Cappuccino (regular),3.59 $
Angola,Coke/Pepsi (0.33 liter bottle),1.64 $
Angola,Water (0.33 liter bottle),1.04 $
Angola,"Milk (regular), (1 liter)",1.73 $
Angola,Loaf of Fresh White Bread (500g),1.29 $
Angola,"Rice (white), (1kg)",1.41 $
Angola,Eggs (regular) (12),2.23 $
Angola,Local Cheese (1kg),12.49 $
Angola,Chicken Fillets (1kg),5.67 $
Angola,Beef Round (1kg) (or Equivalent Back Leg Red Meat),10.12 $
Angola,Apples (1kg),2.43 $
Angola,Banana (1kg),1.16 $
Angola,Oranges (1kg),3.05 $
Angola,Tomato (1kg),2.08 $
Angola,Potato (1kg),1.79 $
Angola,Onion (1kg),1.56 $
Angola,Lettuce (1 head),1.83 $
Angola,Water (1.5 liter bottle),0.44 $
Angola,Bottle of Wine (Mid-Range),7.74 $
Angola,Domestic Beer (0.5 liter bottle),0.58 $
Angola,Imported Beer (0.33 liter bottle),1.29 $
Angola,Cigarettes 20 Pack (Marlboro),2.38 $
Angola,One-way Ticket (Local Transport),0.35 $
Angola,Monthly Pass (Regular Price),33.17 $
Angola,Taxi Start (Normal Tariff),1.19 $
Angola,Taxi 1km (Normal Tariff),0.88 $
Angola,Taxi 1hour Waiting (Normal Tariff),5.97 $
Angola,Gasoline (1 liter),0.37 $
Angola,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"19,880.09 $"
Angola,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"28,310.99 $"
Angola,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",96.11 $
Angola,Mobile Phone Monthly Plan with Calls and 10GB+ Data,20.18 $
Angola,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",132.73 $
Angola,"Fitness Club, Monthly Fee for 1 Adult",42.94 $
Angola,Tennis Court Rent (1 Hour on Weekend),14.49 $
Angola,"Cinema, International Release, 1 Seat",4.49 $
Angola,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",697.15 $
Angola,"International Primary School, Yearly for 1 Child","14,918.69 $"
Angola,1 Pair of Jeans (Levis 501 Or Similar),97.67 $
Angola,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",79.01 $
Angola,1 Pair of Nike Running Shoes (Mid-Range),129.43 $
Angola,1 Pair of Men Leather Business Shoes,254.73 $
Angola,Apartment (1 bedroom) in City Centre,591.32 $
Angola,Apartment (1 bedroom) Outside of Centre,291.21 $
Angola,Apartment (3 bedrooms) in City Centre,"2,348.73 $"
Angola,Apartment (3 bedrooms) Outside of Centre,"1,348.29 $"
Angola,Price per Square Meter to Buy Apartment in City Centre,"4,760.81 $"
Angola,Price per Square Meter to Buy Apartment Outside of Centre,"3,048.79 $"
Angola,Average Monthly Net Salary (After Tax),"3,589.66 $"
Angola,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",25.00
Anguilla,"Meal, Inexpensive Restaurant",22.50 $
Anguilla,"Meal for 2 People, Mid-range Restaurant, Three-course",120.00 $
Anguilla,McMeal at McDonalds (or Equivalent Combo Meal),15.00 $
Anguilla,Domestic Beer (0.5 liter draught),4.00 $
Anguilla,Imported Beer (0.33 liter bottle),5.00 $
Anguilla,Cappuccino (regular),5.00 $
Anguilla,Coke/Pepsi (0.33 liter bottle),3.50 $
Anguilla,Water (0.33 liter bottle),4.00 $
Anguilla,"Milk (regular), (1 liter)",1.74 $
Anguilla,Loaf of Fresh White Bread (500g),3.50 $
Anguilla,"Rice (white), (1kg)",2.22 $
Anguilla,Eggs (regular) (12),2.22 $
Anguilla,Local Cheese (1kg),22.05 $
Anguilla,Chicken Fillets (1kg),16.26 $
